time,AQI
2020-01-19 00:00:00,66
2020-01-20 00:00:00,67
2020-01-21 00:00:00,116
2020-01-22 00:00:00,189
2020-01-23 00:00:00,272
2020-01-24 00:00:00,260
2020-01-25 00:00:00,172
2020-01-26 00:00:00,153
2020-01-27 00:00:00,102
2020-01-28 00:00:00,111
2020-01-29 00:00:00,125
2020-01-30 00:00:00,161
2020-01-31 00:00:00,116
2019-12-01 00:00:00,100
2019-12-02 00:00:00,43
2019-12-03 00:00:00,51
2019-12-04 00:00:00,55
2019-12-05 00:00:00,86
2019-12-06 00:00:00,110
2019-12-07 00:00:00,198
2019-12-08 00:00:00,190
2019-12-09 00:00:00,106
2019-12-10 00:00:00,117
2019-12-11 00:00:00,98
2019-12-12 00:00:00,94
2019-12-13 00:00:00,121
2019-12-14 00:00:00,61
2019-12-15 00:00:00,57
2019-12-16 00:00:00,61
2019-12-17 00:00:00,93
2019-12-18 00:00:00,76
2019-12-19 00:00:00,118
2019-12-20 00:00:00,167
2019-12-21 00:00:00,214
2019-12-22 00:00:00,238
2019-12-23 00:00:00,269
2019-12-24 00:00:00,254
2019-12-25 00:00:00,260
2019-12-26 00:00:00,97
2019-12-27 00:00:00,61
2019-12-28 00:00:00,70
2019-12-29 00:00:00,123
2019-12-30 00:00:00,127
2019-12-31 00:00:00,52
2019-11-01 00:00:00,91
2019-11-02 00:00:00,117
2019-11-03 00:00:00,104
2019-11-04 00:00:00,104
2019-11-05 00:00:00,153
2019-11-06 00:00:00,131
2019-11-07 00:00:00,169
2019-11-08 00:00:00,193
2019-11-09 00:00:00,186
2019-11-10 00:00:00,82
2019-11-11 00:00:00,81
2019-11-12 00:00:00,90
2019-11-13 00:00:00,53
2019-11-14 00:00:00,64
2019-11-15 00:00:00,100
2019-11-16 00:00:00,146
2019-11-17 00:00:00,136
2019-11-18 00:00:00,75
2019-11-19 00:00:00,98
2019-11-20 00:00:00,109
2019-11-21 00:00:00,100
2019-11-22 00:00:00,116
2019-11-23 00:00:00,192
2019-11-24 00:00:00,123
2019-11-25 00:00:00,46
2019-11-26 00:00:00,61
2019-11-27 00:00:00,77
2019-11-28 00:00:00,69
2019-11-29 00:00:00,76
2019-11-30 00:00:00,92
2019-10-01 00:00:00,71
2019-10-02 00:00:00,73
2019-10-03 00:00:00,68
2019-10-04 00:00:00,55
2019-10-05 00:00:00,25
2019-10-06 00:00:00,36
2019-10-07 00:00:00,54
2019-10-08 00:00:00,57
2019-10-09 00:00:00,40
2019-10-10 00:00:00,43
2019-10-11 00:00:00,92
2019-10-12 00:00:00,77
2019-10-13 00:00:00,69
2019-10-14 00:00:00,47
2019-10-15 00:00:00,50
2019-10-16 00:00:00,81
2019-10-17 00:00:00,116
2019-10-18 00:00:00,108
2019-10-19 00:00:00,83
2019-10-20 00:00:00,74
2019-10-21 00:00:00,115
2019-10-22 00:00:00,107
2019-10-23 00:00:00,111
2019-10-24 00:00:00,90
2019-10-25 00:00:00,59
2019-10-26 00:00:00,67
2019-10-27 00:00:00,69
2019-10-28 00:00:00,178
2019-10-29 00:00:00,121
2019-10-30 00:00:00,104
2019-10-31 00:00:00,76
2019-09-01 00:00:00,64
2019-09-02 00:00:00,61
2019-09-03 00:00:00,67
2019-09-04 00:00:00,73
2019-09-05 00:00:00,72
2019-09-06 00:00:00,73
2019-09-07 00:00:00,75
2019-09-08 00:00:00,92
2019-09-09 00:00:00,78
2019-09-10 00:00:00,91
2019-09-11 00:00:00,32
2019-09-12 00:00:00,26
2019-09-13 00:00:00,49
2019-09-14 00:00:00,52
2019-09-15 00:00:00,26
2019-09-16 00:00:00,51
2019-09-17 00:00:00,59
